indic_to,c_resid,month,unit,geo\time	2022 	2021 	2020 	2019 	2018 
LSTY,DOM,M01,NR,AT	38609 	17680 	34156 	27923 	23783 
LSTY,DOM,M01,NR,BE	56070 	66218 	29709 	21540 	17579 
LSTY,DOM,M01,NR,BG	14922 	12116 	12968 	10193 	7321 
LSTY,DOM,M01,NR,CH	95843 	83420 	58607 	46759 	41577 
LSTY,DOM,M01,NR,CY	4898 	3018 	4702 	3526 	3093 
LSTY,DOM,M01,NR,CZ	29663 	16629 	34997 	28386 	22926 
LSTY,DOM,M01,NR,DE	495373 	184663 	460174 	369809 	290107 
LSTY,DOM,M01,NR,DK	19382 	21434 	18101 	15063 	13428 
LSTY,DOM,M01,NR,EE	11274 	10373 	8287 	5944 	4443 
LSTY,DOM,M01,NR,EL	74586 	38780 	80575 	50948 	31305 
LSTY,DOM,M01,NR,ES	504947 	240708 	488011 	371662 	323844 
LSTY,DOM,M01,NR,EU27_2020	3756064 	2317133 	3257894 	2449017 	2016486 
LSTY,DOM,M01,NR,FI	37517 	35194 	26668 	17428 	14205 
LSTY,DOM,M01,NR,FR	1506253 	1225630 	1172578 	880073 	735352 
LSTY,DOM,M01,NR,HR	19766 	14985 	17935 	13204 	11817 
LSTY,DOM,M01,NR,HU	15323 	12134 	18975 	14956 	12452 
LSTY,DOM,M01,NR,IE	21041 	12895 	19725 	18543 	14572 
LSTY,DOM,M01,NR,IS	1291 	1134 	998 	739 	800 
LSTY,DOM,M01,NR,IT	352160 	127736 	357090 	265413 	229927 
LSTY,DOM,M01,NR,LI	8 	3 	17 	6 	12 
LSTY,DOM,M01,NR,LT	14258 	5754 	9458 	5548 	4339 
LSTY,DOM,M01,NR,LU	1450 	1313 	936 	937 	695 
LSTY,DOM,M01,NR,LV	7308 	6830 	4398 	2693 	1755 
LSTY,DOM,M01,NR,MT	2415 	2449 	1717 	1280 	1206 
LSTY,DOM,M01,NR,NL	52609 	51726 	36887 	30819 	27820 
LSTY,DOM,M01,NR,NO	25382 	23899 	24694 	21243 	18107 
LSTY,DOM,M01,NR,PL	315462 	89237 	279381 	199507 	154397 
LSTY,DOM,M01,NR,PT	52161 	36417 	46084 	33363 	27513 
LSTY,DOM,M01,NR,RO	60165 	50473 	52878 	31546 	20592 
LSTY,DOM,M01,NR,SE	27518 	26995 	20088 	13069 	10185 
LSTY,DOM,M01,NR,SI	3414 	524 	4017 	3332 	2876 
LSTY,DOM,M01,NR,SK	17520 	5222 	17399 	12312 	8954 
LSTY,DOM,M02,NR,AT	52485 	18446 	49900 	44426 	35337 
LSTY,DOM,M02,NR,BE	55423 	102919 	36948 	23404 	21268 
LSTY,DOM,M02,NR,BG	16652 	14554 	16222 	12292 	9445 
LSTY,DOM,M02,NR,CH	136536 	143096 	97370 	73628 	64285 
LSTY,DOM,M02,NR,CY	4703 	2995 	5556 	3352 	3667 
LSTY,DOM,M02,NR,CZ	49160 	17406 	50597 	44464 	36980 
LSTY,DOM,M02,NR,DE	547000 	194356 	585663 	428476 	352824 
LSTY,DOM,M02,NR,DK	26247 	36837 	23570 	18418 	17075 
LSTY,DOM,M02,NR,EE	11139 	10940 	10607 	7031 	5160 
LSTY,DOM,M02,NR,EL	67585 	38037 	78896 	49721 	36059 
LSTY,DOM,M02,NR,ES	562206 	227039 	601999 	418048 	368001 
LSTY,DOM,M02,NR,EU27_2020	4559759 	3090396 	4112378 	2967296 	2398883 
LSTY,DOM,M02,NR,FI	48872 	47075 	39839 	26270 	21129 
LSTY,DOM,M02,NR,FR	2167007 	1740705 	1651234 	1189836 	931209 
LSTY,DOM,M02,NR,HR	18852 	15404 	18241 	13982 	10145 
LSTY,DOM,M02,NR,HU	17491 	12173 	21051 	16897 	14666 
LSTY,DOM,M02,NR,IE	23995 	12255 	23801 	21494 	16635 
LSTY,DOM,M02,NR,IS	1754 	2146 	1332 	1253 	1200 
LSTY,DOM,M02,NR,IT	303896 	168506 	340304 	256711 	223095 
LSTY,DOM,M02,NR,LI	38 	: 	10 	3 	: 
LSTY,DOM,M02,NR,LT	14745 	7323 	11776 	7862 	5730 
LSTY,DOM,M02,NR,LU	1448 	1508 	1163 	885 	874 
LSTY,DOM,M02,NR,LV	6944 	7591 	5290 	3027 	1773 
LSTY,DOM,M02,NR,MT	3117 	2696 	3590 	1696 	1571 
LSTY,DOM,M02,NR,NL	52512 	84678 	45793 	32746 	29644 
LSTY,DOM,M02,NR,NO	35394 	33740 	32587 	26640 	22331 
LSTY,DOM,M02,NR,PL	335449 	193108 	328493 	236069 	168231 
LSTY,DOM,M02,NR,PT	56287 	34117 	60210 	36244 	36479 
LSTY,DOM,M02,NR,RO	57060 	59527 	48891 	34754 	24754 
LSTY,DOM,M02,NR,SE	33021 	32587 	25566 	16552 	11721 
LSTY,DOM,M02,NR,SI	6349 	887 	6745 	7122 	5569 
LSTY,DOM,M02,NR,SK	20114 	6727 	20433 	15517 	9842 
